-5918.0 -33272.0 17.52 
-5917.0 -33272.0 17.99 
-5916.0 -33272.0 17.4 
-5915.0 -33272.0 17.72 
-5914.0 -33272.0 17.69 
-5913.0 -33272.0 17.31 
-5912.0 -33272.0 17.14 
-5911.0 -33272.0 17.11 
-5910.0 -33272.0 17.09 
-5909.0 -33272.0 17.02 
-5908.0 -33272.0 16.93 
-5907.0 -33272.0 16.86 
-5906.0 -33272.0 16.89 
-5905.0 -33272.0 16.84 
-5904.0 -33272.0 16.81 
-5903.0 -33272.0 16.7 
-5902.0 -33272.0 16.72 
-5901.0 -33272.0 16.67 
-5900.0 -33272.0 16.63 
-5899.0 -33272.0 16.49 
-5898.0 -33272.0 16.41 
-5897.0 -33272.0 16.48 
-5896.0 -33272.0 17.64 
-5895.0 -33272.0 19.48 
-5894.0 -33272.0 19.33 
-5893.0 -33272.0 19.11 
-5892.0 -33272.0 18.8 
-5891.0 -33272.0 21.17 
-5890.0 -33272.0 25.63 
-5889.0 -33272.0 25.12 
-5888.0 -33272.0 18.93 
-5887.0 -33272.0 15.63 
-5886.0 -33272.0 15.9 
-5885.0 -33272.0 16.02 
-5884.0 -33272.0 15.74 
-5883.0 -33272.0 16.32 
-5882.0 -33272.0 16.01 
-5881.0 -33272.0 16.23 
-5880.0 -33272.0 18.58 
-5879.0 -33272.0 15.34 
-5878.0 -33272.0 20.22 
-5877.0 -33272.0 30.54 
-5876.0 -33272.0 24.82 
-5875.0 -33272.0 21.02 
-5874.0 -33272.0 19.16 
-5873.0 -33272.0 18.18 
-5872.0 -33272.0 18.54 
-5871.0 -33272.0 19.67 
-5870.0 -33272.0 20.1 
-5869.0 -33272.0 26.32 
-5918.0 -33271.0 17.41 
-5917.0 -33271.0 17.79 
-5916.0 -33271.0 18.09 
-5915.0 -33271.0 18.5 
-5914.0 -33271.0 17.66 
-5913.0 -33271.0 17.76 
-5912.0 -33271.0 17.23 
-5911.0 -33271.0 17.07 
-5910.0 -33271.0 17.03 
-5909.0 -33271.0 17.02 
-5908.0 -33271.0 16.89 
-5907.0 -33271.0 16.83 
-5906.0 -33271.0 16.89 
-5905.0 -33271.0 16.82 
-5904.0 -33271.0 16.83 
-5903.0 -33271.0 16.72 
-5902.0 -33271.0 16.73 
-5901.0 -33271.0 16.62 
-5900.0 -33271.0 16.59 
-5899.0 -33271.0 16.53 
-5898.0 -33271.0 16.43 
-5897.0 -33271.0 16.34 
-5896.0 -33271.0 17.06 
-5895.0 -33271.0 18.08 
-5894.0 -33271.0 18.24 
-5893.0 -33271.0 17.94 
